n:1 mse_avg:7.01 mse_y:9.09 mse_u:3.05 mse_v:2.65 psnr_avg:39.67 psnr_y:38.54 psnr_u:43.29 psnr_v:43.90 
n:2 mse_avg:1075.22 mse_y:1430.13 mse_u:454.08 mse_v:276.71 psnr_avg:17.82 psnr_y:16.58 psnr_u:21.56 psnr_v:23.71 
n:3 mse_avg:21.95 mse_y:31.61 mse_u:2.72 mse_v:2.57 psnr_avg:34.72 psnr_y:33.13 psnr_u:43.79 psnr_v:44.04 
n:4 mse_avg:7.50 mse_y:10.08 mse_u:2.45 mse_v:2.22 psnr_avg:39.38 psnr_y:38.10 psnr_u:44.24 psnr_v:44.66 
n:5 mse_avg:8.92 mse_y:12.25 mse_u:2.36 mse_v:2.16 psnr_avg:38.63 psnr_y:37.25 psnr_u:44.40 psnr_v:44.78 
n:6 mse_avg:16.55 mse_y:23.33 mse_u:2.83 mse_v:3.14 psnr_avg:35.94 psnr_y:34.45 psnr_u:43.62 psnr_v:43.16 
n:7 mse_avg:23.97 mse_y:34.52 mse_u:2.71 mse_v:3.06 psnr_avg:34.33 psnr_y:32.75 psnr_u:43.80 psnr_v:43.27 
n:8 mse_avg:39.78 mse_y:58.15 mse_u:2.85 mse_v:3.24 psnr_avg:32.13 psnr_y:30.49 psnr_u:43.58 psnr_v:43.03 
n:9 mse_avg:34.76 mse_y:50.71 mse_u:2.68 mse_v:3.04 psnr_avg:32.72 psnr_y:31.08 psnr_u:43.85 psnr_v:43.30 
n:10 mse_avg:21.91 mse_y:31.57 mse_u:2.52 mse_v:2.66 psnr_avg:34.72 psnr_y:33.14 psnr_u:44.12 psnr_v:43.88 
n:11 mse_avg:20.18 mse_y:28.94 mse_u:2.59 mse_v:2.73 psnr_avg:35.08 psnr_y:33.52 psnr_u:44.00 psnr_v:43.76 
n:12 mse_avg:28.03 mse_y:40.62 mse_u:2.73 mse_v:2.98 psnr_avg:33.65 psnr_y:32.04 psnr_u:43.77 psnr_v:43.39 
n:13 mse_avg:21.15 mse_y:30.39 mse_u:2.61 mse_v:2.75 psnr_avg:34.88 psnr_y:33.30 psnr_u:43.96 psnr_v:43.74 
n:14 mse_avg:29.91 mse_y:43.39 mse_u:2.86 mse_v:3.02 psnr_avg:33.37 psnr_y:31.76 psnr_u:43.57 psnr_v:43.33 
n:15 mse_avg:26.79 mse_y:38.78 mse_u:2.77 mse_v:2.88 psnr_avg:33.85 psnr_y:32.25 psnr_u:43.70 psnr_v:43.54 
n:16 mse_avg:20.61 mse_y:29.58 mse_u:2.65 mse_v:2.71 psnr_avg:34.99 psnr_y:33.42 psnr_u:43.90 psnr_v:43.79 
n:17 mse_avg:20.37 mse_y:29.23 mse_u:2.55 mse_v:2.73 psnr_avg:35.04 psnr_y:33.47 psnr_u:44.06 psnr_v:43.77 
n:18 mse_avg:22.56 mse_y:32.48 mse_u:2.62 mse_v:2.85 psnr_avg:34.60 psnr_y:33.02 psnr_u:43.96 psnr_v:43.59 
n:19 mse_avg:28.54 mse_y:41.33 mse_u:2.70 mse_v:3.22 psnr_avg:33.58 psnr_y:31.97 psnr_u:43.82 psnr_v:43.05 
n:20 mse_avg:33.64 mse_y:48.84 mse_u:2.84 mse_v:3.64 psnr_avg:32.86 psnr_y:31.24 psnr_u:43.59 psnr_v:42.52 
n:21 mse_avg:31.25 mse_y:45.29 mse_u:2.80 mse_v:3.53 psnr_avg:33.18 psnr_y:31.57 psnr_u:43.66 psnr_v:42.65 
n:22 mse_avg:24.47 mse_y:35.23 mse_u:2.69 mse_v:3.23 psnr_avg:34.24 psnr_y:32.66 psnr_u:43.84 psnr_v:43.03 
n:23 mse_avg:27.66 mse_y:40.01 mse_u:2.81 mse_v:3.10 psnr_avg:33.71 psnr_y:32.11 psnr_u:43.64 psnr_v:43.21 
n:24 mse_avg:35.65 mse_y:51.89 mse_u:2.95 mse_v:3.39 psnr_avg:32.61 psnr_y:30.98 psnr_u:43.43 psnr_v:42.82 
n:25 mse_avg:47.00 mse_y:68.69 mse_u:3.30 mse_v:3.94 psnr_avg:31.41 psnr_y:29.76 psnr_u:42.95 psnr_v:42.17 
n:26 mse_avg:59.65 mse_y:87.35 mse_u:3.78 mse_v:4.76 psnr_avg:30.37 psnr_y:28.72 psnr_u:42.35 psnr_v:41.36 
n:27 mse_avg:68.15 mse_y:99.83 mse_u:4.06 mse_v:5.51 psnr_avg:29.80 psnr_y:28.14 psnr_u:42.05 psnr_v:40.72 
n:28 mse_avg:60.55 mse_y:88.56 mse_u:3.90 mse_v:5.13 psnr_avg:30.31 psnr_y:28.66 psnr_u:42.22 psnr_v:41.03 
n:29 mse_avg:59.10 mse_y:86.26 mse_u:3.93 mse_v:5.60 psnr_avg:30.42 psnr_y:28.77 psnr_u:42.19 psnr_v:40.65 
n:30 mse_avg:56.10 mse_y:81.79 mse_u:3.88 mse_v:5.54 psnr_avg:30.64 psnr_y:29.00 psnr_u:42.24 psnr_v:40.70 
n:31 mse_avg:54.53 mse_y:79.71 mse_u:3.41 mse_v:4.93 psnr_avg:30.76 psnr_y:29.12 psnr_u:42.80 psnr_v:41.20 
